id,question_id,content,score
1,1,מעולם לא,0
2,1,לעיתים רחוקות,1
3,1,לפעמים,2
4,1,בדרך כלל,3
5,1,תמיד,4
6,1,לא קרה/לא רלוונטי,null
7,2,מעולם לא,0
8,2,לעיתים רחוקות,1
9,2,לפעמים,2
10,2,בדרך כלל,3
11,2,תמיד,4
12,2,לא קרה/לא רלוונטי,null
13,3,מעולם לא,0
14,3,לעיתים רחוקות,1
15,3,לפעמים,2
16,3,בדרך כלל,3
17,3,תמיד,4
18,3,לא קרה/לא רלוונטי,null
19,4,מעולם לא,0
20,4,לעיתים רחוקות,1
21,4,לפעמים,2
22,4,בדרך כלל,3
23,4,תמיד,4
24,4,לא קרה/לא רלוונטי,null
25,5,מעולם לא,4
26,5,לעיתים רחוקות,3
27,5,לפעמים,2
28,5,בדרך כלל,1
29,5,תמיד,0
30,5,לא קרה/לא רלוונטי,null
31,6,מעולם לא,4
32,6,לעיתים רחוקות,3
33,6,לפעמים,2
34,6,בדרך כלל,1
35,6,תמיד,0
36,6,לא קרה/לא רלוונטי,null
37,7,מעולם לא,4
38,7,לעיתים רחוקות,3
39,7,לפעמים,2
40,7,בדרך כלל,1
41,7,תמיד,0
42,7,לא קרה/לא רלוונטי,null
43,8,מעולם לא,0
44,8,לעיתים רחוקות,1
45,8,לפעמים,2
46,8,בדרך כלל,3
47,8,תמיד,4
48,8,לא קרה/לא רלוונטי,null
49,9,ללא תוקפנות: אין סימני אגרסיביות כלל,0
50,9,,1
51,9,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
52,9,,3
53,9,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
54,9,לא קרה/לא רלוונטי,null
55,10,ללא תוקפנות: אין סימני אגרסיביות כלל,0
56,10,,1
57,10,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
58,10,,3
59,10,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
60,10,לא קרה/לא רלוונטי,null
61,11,ללא תוקפנות: אין סימני אגרסיביות כלל,0
62,11,,1
63,11,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
64,11,,3
65,11,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
66,11,לא קרה/לא רלוונטי,null
67,12,ללא תוקפנות: אין סימני אגרסיביות כלל,0
68,12,,1
69,12,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
70,12,,3
71,12,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
72,12,לא קרה/לא רלוונטי,null
73,13,ללא תוקפנות: אין סימני אגרסיביות כלל,0
74,13,,1
75,13,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
76,13,,3
77,13,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
78,13,לא קרה/לא רלוונטי,null
79,14,ללא תוקפנות: אין סימני אגרסיביות כלל,0
80,14,,1
81,14,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
82,14,,3
83,14,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
84,14,לא קרה/לא רלוונטי,null
85,15,ללא תוקפנות: אין סימני אגרסיביות כלל,0
86,15,,1
87,15,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
88,15,,3
89,15,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
90,15,לא קרה/לא רלוונטי,null
91,16,ללא תוקפנות: אין סימני אגרסיביות כלל,0
92,16,,1
93,16,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
94,16,,3
95,16,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
96,16,לא קרה/לא רלוונטי,null
97,17,ללא תוקפנות: אין סימני אגרסיביות כלל,0
98,17,,1
99,17,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
100,17,,3
101,17,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
102,17,לא קרה/לא רלוונטי,null
103,18,ללא תוקפנות: אין סימני אגרסיביות כלל,0
104,18,,1
105,18,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
106,18,,3
107,18,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
108,18,לא קרה/לא רלוונטי,null
109,19,ללא תוקפנות: אין סימני אגרסיביות כלל,0
110,19,,1
111,19,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
112,19,,3
113,19,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
114,19,לא קרה/לא רלוונטי,null
115,20,ללא תוקפנות: אין סימני אגרסיביות כלל,0
116,20,,1
117,20,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
118,20,,3
119,20,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
120,20,לא קרה/לא רלוונטי,null
121,21,ללא תוקפנות: אין סימני אגרסיביות כלל,0
122,21,,1
123,21,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
124,21,,3
125,21,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
126,21,לא קרה/לא רלוונטי,null
127,22,ללא תוקפנות: אין סימני אגרסיביות כלל,0
128,22,,1
129,22,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
130,22,,3
131,22,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
132,22,לא קרה/לא רלוונטי,null
133,23,ללא תוקפנות: אין סימני אגרסיביות כלל,0
134,23,,1
135,23,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
136,23,,3
