id,content,section_id,ans_type,subscale
1,"כאשר הכלב לא קשור ברצועה, הוא חוזר מיד כשקוראים לו.",1,int,יכולת אילוף
2,"מציית מיד כאשר אומרים לו ""שב"".",1,int,יכולת אילוף
3,"מציית מיד כשאומרים לו ""תישאר"".",1,int,יכולת אילוף
4,נראה שהוא קשוב מאוד לכל דבר שאת/ה אומר/ת או עושה.,1,int,יכולת אילוף
5,"מגיב לאט לתיקונים או נזיפות, בעל ""עור של פיל"".",1,int,יכולת אילוף
6,לומד לאט טריקים או פקודות חדשות.,1,int,יכולת אילוף
7,"מוסח בקלות על ידי גירויים ויזואליים, צלילים או ריחות.",1,int,יכולת אילוף
8,"יחזיר או ינסה להחזיר מקלות, כדורים או חפצים אחרים.",1,int,יכולת אילוף
9,כאשר ננזף מילולית (בצעקות וכו') על ידי אחד מבני הבית.,2,int,אגרסיביות כלפי הבעלים
10,כאשר בזמן טיול/התעמלות כשהכלב קשור ברצועה ניגש ישירות אליו מבוגר שאינו מכיר.,2,int,אגרסיביות כלפי זרים
11,כאשר בזמן טיול/התעמלות כשהכלב קשור ברצועה ניגש ישירות אליו ילד שאינו מכיר.,2,int,אגרסיביות כלפי זרים
12,כלפי אנשים לא מוכרים בזמן שהכלב נמצא במכונית שלך (בתחנת דלק למשל).,2,int,אגרסיביות כלפי זרים
13,"כאשר צעצועים, עצמות, או חפצים אחרים נלקחים על ידי אחד מבני הבית.",2,int,אגרסיביות כלפי הבעלים
14,בזמן מקלחת או סירוק על ידי אחד מבני הבית.,2,int,אגרסיביות כלפי הבעלים
15,כאשר אדם לא מוכר מתקרב אליך או אל מישהו ממשפחתך בבית.,2,int,אגרסיביות כלפי זרים
16,כאשר אדם לא מוכר מתקרב אליך או אל מישהו ממשפחתך במקום שהוא לא הבית.,2,int,אגרסיביות כלפי זרים
17,כאשר מישהו מבני הבית מתקרב אל הכלב בזמן שהוא אוכל.,2,int,אגרסיביות כלפי הבעלים
18,כאשר שליח או דוור מתקרב אל הבית.,2,int,אגרסיביות כלפי זרים
19,כאשר האוכל של הכלב נלקח על ידי אחד מבני הבית.,2,int,אגרסיביות כלפי הבעלים
20,כאשר אנשים זרים חולפים על פני הבית בזמן שהכלב בחוץ או בחצר.,2,int,אגרסיביות כלפי זרים
21, כאשר אדם לא מוכר מנסה לגעת או ללטף את הכלב.,2,int,אגרסיביות כלפי זרים
22,"כאשר אנשים שרצים, רוכבים על אופניים, רולרבליידס או סקייטבורד חולפים על פני הבית בזמן שהכלב בחוץ או בחצר.",2,int,אגרסיביות כלפי זרים
23,כאשר בזמן טיול/התעמלות כשהכלב קשור ברצועה ניגש ישירות אליו כלב זכר שאינו מכיר.,2,int,אגרסיביות כלפי כלבים
24,כאשר בזמן טיול/התעמלות כשהכלב קשור ברצועה ניגשת ישירות אליו כלבה נקבה שאינו מכיר.,2,int,אגרסיביות כלפי כלבים
25,כאשר אחד מבני הבית מסתכל ישירות אליו.,2,int,אגרסיביות כלפי הבעלים
26,כלפי כלבים לא מוכרים שמבקרים בביתך.,2,int,אגרסיביות כלפי כלבים
27,"כלפי חתולים, עכברים או חיות קטנות אחרות שעלולות להיכנס לחצר ביתך.",2,int,רדיפה
28,כלפי אנשים לא מוכרים שמבקרים בביתך.,2,int,אגרסיביות כלפי זרים
29,"כאשר כלב זר נובח, נוהם או מתנפל עליו.",2,int,אגרסיביות כלפי כלבים
30,כאשר אחד מבני הבית עובר מעליו.,2,int,אגרסיביות כלפי הבעלים
31,כאשר את/ה או אחד מבני הבית לוקחים בחזרה אוכל או חפצים שהכלב חטף.,2,int,אגרסיביות כלפי הבעלים
32,כלפי כלב מוכר שמבקר בביתך.,2,int,אגרסיביות כלפי כלבים מוכרים
33,כאשר ניגש אליו כלב מוכר בזמן שהוא במיטה/מקום מנוחה אהוב.,2,int,אגרסיביות כלפי כלבים מוכרים
34,כאשר ניגש אליו כלב מוכר בזמן שהוא אוכל.,2,int,אגרסיביות כלפי כלבים מוכרים
35,כאשר ניגש אליו כלב מוכר בזמן שהוא משחק צעצוע אהוב/עצם/מקל וכו'.,2,int,אגרסיביות כלפי כלבים מוכרים
